Product Name,URL,Price,Flipkart Assured
Samsung Series 4 80cm (32 inch) HD Ready LED Smart TV,/samsung-series-4-80cm-32-inch-hd-ready-led-smart-tv/p/itmf8rzcjesbkuff?pid=TVSF8RZCZTTZV7F5&srno=s_2_36&otracker=search&otracker1=search&lid=LSTTVSF8RZCZTTZV7F52RHBUV&fm=organic&iid=12f44434-1a58-4768-8b98-0b7d16eab46c.TVSF8RZCZTTZV7F5.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹16,990",
Samsung Series 4 59cm (24 inch) HD Ready LED TV,/samsung-series-4-59cm-24-inch-hd-ready-led-tv/p/itmdws43zdesue93?pid=TVSDWS4F26JRVNTT&srno=s_2_37&otracker=search&otracker1=search&lid=LSTTVSDWS4F26JRVNTTHTBU2Y&fm=organic&iid=a767fc12-8f7b-4273-a90f-be3248650f41.TVSDWS4F26JRVNTT.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹12,199",
Samsung 4 80cm (32 inch) HD Ready LED TV,/samsung-4-80cm-32-inch-hd-ready-led-tv/p/itmf22wytzsgcyxt?pid=TVSF22WYYQTCNNYV&srno=s_2_38&otracker=search&otracker1=search&lid=LSTTVSF22WYYQTCNNYV7QWQO2&fm=organic&iid=ac508e8b-974c-4eb9-98dc-0168658ec485.TVSF22WYYQTCNNYV.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹13,490",
Samsung 108cm (43 inch) Ultra HD (4K) LED Smart TV,/samsung-108cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfggqbwqczfeun?pid=TVSFGGQBCN5C2ARQ&srno=s_2_39&otracker=search&otracker1=search&lid=LSTTVSFGGQBCN5C2ARQGWH7V8&fm=organic&iid=72895742-60c3-4782-a8c3-cb7695d45dd1.TVSFGGQBCN5C2ARQ.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹50,099",
Samsung 80cm (32 inch) HD Ready LED TV,/samsung-80cm-32-inch-hd-ready-led-tv/p/itmf9rrhkypzqmnz?pid=TVSF9RRHKFACGEV7&srno=s_2_40&otracker=search&otracker1=search&lid=LSTTVSF9RRHKFACGEV7DNG6TI&fm=organic&iid=857f9a97-f8d6-4e88-bf6f-a6fd992ea080.TVSF9RRHKFACGEV7.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹13,900",
Samsung 109.2cm (43 inch) Ultra HD (4K) LED Smart TV,/samsung-109-2cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmfggqbusqtrvrr?pid=TVSFGGQBR3B9HYT5&srno=s_2_41&otracker=search&otracker1=search&lid=LSTTVSFGGQBR3B9HYT5ONLVRO&fm=organic&iid=4fd7791f-d37e-4c7f-96f1-e86b74b7f889.TVSFGGQBR3B9HYT5.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹40,900",
Thomson R9 122cm (48 inch) Full HD LED TV,/thomson-r9-122cm-48-inch-full-hd-led-tv/p/itmf66gtgnzyhhvn?pid=TVSF66GTDWV2WZBV&srno=s_2_42&otracker=search&otracker1=search&lid=LSTTVSF66GTDWV2WZBVULJAKG&fm=organic&iid=a0d64840-3e6b-4aa2-9e57-9bbcf6c7fa81.TVSF66GTDWV2WZBV.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹21,499",
Samsung Series 7 108cm (43 inch) Ultra HD (4K) LED Smart TV,/samsung-series-7-108cm-43-inch-ultra-hd-4k-led-smart-tv/p/itmf5xzydgfkpma8?pid=TVSF5XZYFQJ4FSMW&srno=s_2_43&otracker=search&otracker1=search&lid=LSTTVSF5XZYFQJ4FSMWCLPAL5&fm=organic&iid=2515efa3-e2e5-4d64-9fa5-59ce8e507394.TVSF5XZYFQJ4FSMW.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹47,999",
Samsung Q70RAK 163cm (65 inch) Ultra HD (4K) QLED Smart TV,/samsung-q70rak-163cm-65-inch-ultra-hd-4k-qled-smart-tv/p/itmfggqbcppkvpqg?pid=TVSFHCBVDUPHHN4Z&srno=s_2_44&otracker=search&otracker1=search&lid=LSTTVSFHCBVDUPHHN4ZPYKT8X&fm=organic&iid=bfe16d38-4bf2-4f90-b651-145ab616de88.TVSFHCBVDUPHHN4Z.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹1,89,999",
Samsung N5470 108cm (43 inch) Full HD LED Smart TV,/samsung-n5470-108cm-43-inch-full-hd-led-smart-tv/p/itm9224723104b52?pid=TVSFF96UHJAFQHKQ&srno=s_2_45&otracker=search&otracker1=search&lid=LSTTVSFF96UHJAFQHKQKJFBN8&fm=organic&iid=b124eea5-f80b-49db-96fd-a3729d20cc1f.TVSFF96UHJAFQHKQ.SEARCH&ppt=sp&ppn=sp&ssid=uxgv8z4rls0000001574492773816&qH=09909ad4a70de9a9,"₹35,428",
