Model Name,URL,Price
LG 164cm (65 inch) Ultra HD (4K) LED Smart TV,/lg-164cm-65-inch-ultra-hd-4k-led-smart-tv/p/itmf6hfju2b9kkee?pid=TVSF6HFJAYXQDZNV&srno=s_2_35&otracker=search&otracker1=search&lid=LSTTVSF6HFJAYXQDZNVZ3QIBU&fm=organic&iid=bee63d56-19ab-45d9-8998-795df38c2d16.TVSF6HFJAYXQDZNV.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹1,20,999"
LG Ultra HD 108cm (43 inch) Ultra HD (4K) LED Smart TV,/lg-ultra-hd-108cm-43-inch-4k-led-smart-tv/p/itmeurnchfc6u64v?pid=TVSEURNC6BPYHFVP&srno=s_2_36&otracker=search&otracker1=search&lid=LSTTVSEURNC6BPYHFVPVIQMSZ&fm=organic&iid=98b4ce25-cfde-4a07-8477-a71fd59962a9.TVSEURNC6BPYHFVP.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹49,999"
LG 123cm (49 inch) Ultra HD (4K) LED Smart TV 2019 Edition with Nanocell,/lg-123cm-49-inch-ultra-hd-4k-led-smart-tv-2019-nanocell/p/itmfhbvzbgxq7ngr?pid=TVSFHBVZTNHTCZ7Y&srno=s_2_37&otracker=search&otracker1=search&lid=LSTTVSFHBVZTNHTCZ7YTYYOC6&fm=organic&iid=2e6674b0-6ac3-4cc3-85b4-8d9e8f876aa6.TVSFHBVZTNHTCZ7Y.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹59,401"
LG B9 138cm (55 inch) Ultra HD (4K) OLED Smart TV,/lg-b9-138cm-55-inch-ultra-hd-4k-oled-smart-tv/p/itm4f43db3274329?pid=TVSFJY52FG5FFZZG&srno=s_2_38&otracker=search&otracker1=search&lid=LSTTVSFJY52FG5FFZZGYSUESL&fm=organic&iid=8ca4403f-d878-4ee1-aed3-5fdcc9970fd4.TVSFJY52FG5FFZZG.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹1,29,999"
LG 80cm (32 inch) HD Ready LED TV,/lg-80cm-32-inch-hd-ready-led-tv/p/itmewphfrh66fbgq?pid=TVSEWPHFMEZNNGUQ&srno=s_2_39&otracker=search&otracker1=search&lid=LSTTVSEWPHFMEZNNGUQ9SCGOA&fm=organic&iid=65736d56-c052-4f8e-8b29-087a80cd3ab6.TVSEWPHFMEZNNGUQ.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹16,999"
LG 108cm (43 inch) Full HD LED TV,/lg-108cm-43-inch-full-hd-led-tv/p/itmeurm5qzndhzgt?pid=TVSEURM5BSGYQBG3&srno=s_2_40&otracker=search&otracker1=search&lid=LSTTVSEURM5BSGYQBG3A4ZWU8&fm=organic&iid=2c87ff38-89c9-4b04-9a62-b41ccfd07536.TVSEURM5BSGYQBG3.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹36,999"
LG 189cm (75 inch) Ultra HD (4K) LED Smart TV 2019 Edition,/lg-189cm-75-inch-ultra-hd-4k-led-smart-tv-2019/p/itmfhbvzknfxsend?pid=TVSFHBVZB38JZNTJ&srno=s_2_41&otracker=search&otracker1=search&lid=LSTTVSFHBVZB38JZNTJIWM9V4&fm=organic&iid=0e9c4f46-1b6d-4e0f-8133-d62cae031983.TVSFHBVZB38JZNTJ.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹1,99,999"
LG 139cm (55 inch) Ultra HD (4K) LED Smart TV,/lg-139cm-55-inch-ultra-hd-4k-led-smart-tv/p/itmf6hfjghjfkxjy?pid=TVSF6HFJH36BQWQH&srno=s_2_42&otracker=search&otracker1=search&lid=LSTTVSF6HFJH36BQWQH3QPUQK&fm=organic&iid=512fc85f-9cea-4f92-a519-d84288d96b5c.TVSF6HFJH36BQWQH.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹76,999"
LG 80cm (32 inch) HD Ready LED TV,/lg-80cm-32-inch-hd-ready-led-tv/p/itmeurncyrnzryet?pid=TVSEURNCQZWESU9A&srno=s_2_43&otracker=search&otracker1=search&lid=LSTTVSEURNCQZWESU9ALA4OUB&fm=organic&iid=643e22b6-cf85-4474-a550-3146035f9e9c.TVSEURNCQZWESU9A.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹21,000"
LG 123cm (49 inch) Full HD LED Smart TV,/lg-123cm-49-inch-full-hd-led-smart-tv/p/itmejzsfdbubghek?pid=TVSEJZSFFGSGWZHZ&srno=s_2_44&otracker=search&otracker1=search&lid=LSTTVSEJZSFFGSGWZHZYJHBYD&fm=organic&iid=df1dc46a-3320-4f9e-ac31-572588298ab8.TVSEJZSFFGSGWZHZ.SEARCH&ppt=sp&ppn=sp&ssid=ylyme5o7cw0000001572795142386&qH=0e9823883e72a0ba,"₹49,999"
